19	2	RFR1	0.001181607	121	1800	0	1	0	CHN
19	3	IRRU	0	71	1800	0.8	0.8	0	CHN
19	4	AGRL	0.101541312	71	1800	0	1	0	CHN
19	5	FRSE	0.893685104	-99	-99	-99	-99	0	CHN
20	1	IRR1	0	121	1800	0.8	0.8	0	CHN
20	2	RFR1	0.0030976	121	1800	0	1	0	CHN
20	3	IRRU	0	71	1800	0.8	0.8	0	CHN
20	4	AGRL	0.023943942	71	1800	0	1	0	CHN
20	5	FRSE	0.972958458	-99	-99	-99	-99	0	CHN
21	1	IRR1	0	121	1800	0.8	0.8	0	CHN
21	2	RFR1	0	121	1800	0	1	0	CHN
21	3	IRRU	0	71	1800	0.8	0.8	0	CHN
21	4	AGRL	0.130403258	71	1800	0	1	0	CHN
21	5	FRSE	0.869596742	-99	-99	-99	-99	0	CHN
22	1	IRR1	0.052812564	121	1800	0.8	0.8	0	CHN
22	2	RFR1	0.000991216	121	1800	0	1	0	CHN
22	3	IRRU	0	71	1800	0.8	0.8	0	CHN
22	4	AGRL	0.198508427	71	1800	0	1	0	CHN
22	5	FRSE	0.747687794	-99	-99	-99	-99	0	CHN
23	1	IRR1	0.006158892	121	1800	0.8	0.8	0	CHN
23	2	RFR1	0.000171917	121	1800	0	1	0	CHN
23	3	IRRU	0	71	1800	0.8	0.8	0	CHN
23	4	AGRL	0.163017085	71	1800	0	1	0	CHN
23	5	FRSE	0.830652106	-99	-99	-99	-99	0	CHN
24	1	IRR1	0.023843022	121	1800	0.8	0.8	0	CHN
24	2	RFR1	5.85084E-06	121	1800	0	1	0	CHN
24	3	IRRU	0	71	1800	0.8	0.8	0	CHN
24	4	AGRL	0.079980116	71	1800	0	1	0	CHN
24	5	FRSE	0.896171012	-99	-99	-99	-99	0	CHN
25	1	IRR1	0.026321218	121	1800	0.8	0.8	0	CHN
25	2	RFR1	0.012136278	121	1800	0	1	0	CHN
25	3	IRRU	0	71	1800	0.8	0.8	0	CHN
25	4	AGRL	0.174288794	71	1800	0	1	0	CHN
25	5	FRSE	0.78725371	-99	-99	-99	-99	0	CHN
26	1	IRR1	0.003494893	121	1800	0.8	0.8	0	CHN
26	2	RFR1	0.018882826	121	1800	0	1	0	CHN
26	3	IRRU	0	71	1800	0.8	0.8	0	CHN
26	4	AGRL	0.123034304	71	1800	0	1	0	CHN
26	5	FRSE	0.854587977	-99	-99	-99	-99	0	CHN
27	1	IRR1	0	121	1800	0.8	0.8	0	CHN
27	2	RFR1	0.013686813	121	1800	0	1	0	CHN
27	3	IRRU	0	71	1800	0.8	0.8	0	CHN
27	4	AGRL	0.099696013	71	1800	0	1	0	CHN
27	5	FRSE	0.886617173	-99	-99	-99	-99	0	CHN
28	1	IRR1	0.018882357	121	1800	0.8	0.8	0	CHN
28	2	RFR1	0.025561238	121	1800	0	1	0	CHN
28	3	IRRU	0	71	1800	0.8	0.8	0	CHN
28	4	AGRL	0.110706277	71	1800	0	1	0	CHN
28	5	FRSE	0.844850128	-99	-99	-99	-99	0	CHN
29	1	IRR1	0	121	1800	0.8	0.8	0	CHN
29	2	RFR1	0	121	1800	0	1	0	CHN
29	3	IRRU	0	71	1800	0.8	0.8	0	CHN
29	4	AGRL	0.092907862	71	1800	0	1	0	CHN
29	5	FRSE	0.907092138	-99	-99	-99	-99	0	CHN
30	1	IRR1	0.01845021	121	1800	0.8	0.8	0	CHN
30	2	RFR1	0.000203151	121	1800	0	1	0	CHN
30	3	IRR2	0	121	1800	0.8	0.8	0	CHN
30	4	RFR2	0	121	1800	0	1	0	CHN
30	5	IRRU	3.73407E-06	71	1800	0.8	0.8	0	CHN
30	6	AGRL	0.032105109	71	1800	0	1	0	CHN
30	7	FRSE	0.949237796	-99	-99	-99	-99	0	CHN
31	1	IRR1	0.038045117	121	1800	0.8	0.8	0	CHN
31	2	RFR1	0.009591345	121	1800	0	1	0	CHN
31	3	IRR2	0	121	1800	0.8	0.8	0	CHN
31	4	RFR2	0	121	1800	0	1	0	CHN
31	5	IRRU	0.000225069	71	1800	0.8	0.8	0	CHN
31	6	AGRL	0.065436676	71	1800	0	1	0	CHN
31	7	FRSE	0.886701793	-99	-99	-99	-99	0	CHN
32	1	IRR1	0	167	1800	0.8	0.8	0	LAO
32	2	RFR1	0.005074934	167	1800	0	1	0	LAO
32	3	IRR2	0.002664545	357	1800	0.8	0.8	0	LAO
32	4	RFR2	0	357	1800	0	1	0	LAO
32	5	IRRU	0.001229532	71	1800	0.8	0.8	0	LAO
32	6	AGRL	0.005567031	71	1800	0	1	0	LAO
32	7	FRSE	0.985463958	-99	-99	-99	-99	0	LAO
33	1	IRR1	0.118992808	121	1800	0.8	0.8	0	CHN
33	2	RFR1	6.41369E-05	121	1800	0	1	0	CHN
33	3	IRRU	0	71	1800	0.8	0.8	0	CHN
33	4	AGRL	0.156665266	71	1800	0	1	0	CHN
33	5	FRSE	0.724277789	-99	-99	-99	-99	0	CHN
34	1	IRR1	0.003569138	153	1800	0.8	0.8	0	MMR
34	2	RFR1	0.026002682	153	1800	0	1	0	MMR
34	3	IRR2	0.005353707	333	1800	0.8	0.8	0	MMR
34	4	RFR2	0	333	1800	0	1	0	MMR
34	5	IRRU	0.002024643	300	1800	0.8	0.8	0	MMR
34	6	AGRL	0.063514684	300	1800	0	1	0	MMR
34	7	FRSE	0.899535146	-99	-99	-99	-99	0	MMR
35	1	IRR1	0.041023651	121	1800	0.8	0.8	0	CHN
35	2	RFR1	0.006447215	121	1800	0	1	0	CHN
35	3	IRR2	0	121	1800	0.8	0.8	0	CHN
35	4	RFR2	0	121	1800	0	1	0	CHN
35	5	IRRU	0.0014844	71	1800	0.8	0.8	0	CHN
35	6	AGRL	0.060312504	71	1800	0	1	0	CHN
