"year","Agent_ID","Reservoir","Hydro.Power"
"17","4","Pak Lay","11594.88"
"17","5","imaginary","0"
"17","6","Latsua","6025.824"
"17","8","Stung Treng","8608.32"
"17","9","Lower Sesan 2","4216.32"
"18","1","imaginary","0"
"18","1","Huangdeng","16644"
"18","1","Xiaowan","31536"
"18","1","Jinghong","15330"
"18","4","Luangprabang","12351.6"
"18","4","Pak Lay","11563.2"
"18","5","imaginary","0"
"18","6","Latsua","6009.36"
"18","8","Stung Treng","8584.8"
"18","9","Lower Sesan 2","4204.8"
"19","1","imaginary","0"
"19","1","Huangdeng","16644"
"19","1","Xiaowan","31536"
"19","1","Jinghong","15330"
"19","4","Luangprabang","12351.6"
"19","4","Pak Lay","11563.2"
"19","5","imaginary","0"
"19","6","Latsua","6009.36"
"19","8","Stung Treng","8584.8"
"19","9","Lower Sesan 2","4204.8"
"20","1","imaginary","0"
"20","1","Huangdeng","16644"
"20","1","Xiaowan","31536"
"20","1","Jinghong","15330"
"20","4","Luangprabang","12351.6"
"20","4","Pak Lay","11563.2"
"20","5","imaginary","0"
"20","6","Latsua","6009.36"
"20","8","Stung Treng","8584.8"
"20","9","Lower Sesan 2","4204.8"
"21","1","imaginary","0"
"21","1","Huangdeng","16689.6"
"21","1","Xiaowan","31622.4"
"21","1","Jinghong","15372"
"21","4","Luangprabang","12385.44"
"21","4","Pak Lay","11594.88"
"21","5","imaginary","0"
"21","6","Latsua","6025.824"
"21","8","Stung Treng","8608.32"
"21","9","Lower Sesan 2","4216.32"
"22","1","imaginary","0"
"22","1","Huangdeng","16644"
"22","1","Xiaowan","31536"
"22","1","Jinghong","15330"
"22","4","Luangprabang","12351.6"
"22","4","Pak Lay","11563.2"
"22","5","imaginary","0"
"22","6","Latsua","6009.36"
"22","8","Stung Treng","8584.8"
"22","9","Lower Sesan 2","4204.8"
