Reservoir,efficiency,tailwater level,volume (mega liter),level,volume (m^3),head,a,b,Head=a*volume^b +c
,,48.3,4000,4000000000,,,,,
,,32,1,1000000,,,,,
Nam Theun 2,,head,volume (mcm),volume (m^3),,,0.002998,0.3817,348
,,361.4,3680,3680000000,,,,,
,,361,3400,3400000000,,,,,
,,348,0,0,,,,,
Nam Ngum 2,,head,volume (mcm),volume (m^3),,,0.00006341,0.6074,159.5
,,195.5,2970,2970000000,,,,,
,,189.5,2200,2200000000,,,,,
,,159.5,0,0,,,,,
Huangdeng,,head,volume (mcm),volume (m^3),,,0.000003461,0.7826,96.31
,,131.295,892,892000000,,,,,
,,129.315,828,828000000,,,,,
,,96.315,0,0,,,,,
Wunonglong,,head,volume (mcm),volume (m^3),,,0.00004715,0.6722,77.54
,,85.245,57,57000000,,,,,
,,82.545,30,30000000,,,,,
,,77.545,0,0,,,,,
Nam Ngiep 1,,head,volume (mcm),volume (m^3),,,0.000000142,0.9172,100.9
,,130.9,1192,1192000000,,,,,
,,122.9,850,850000000,,,,,
,,100.9,0,0,,,,,
Nan Ngum 3,,head,volume (mcm),volume (m^3),,,0.00007545,0.6555,272.6
,,353.17,1614,1614000000,,,,,
,,343.11,1294,1294000000,,,,,
,,336.17,1074,1074000000,,,,,
,,333.17,978.9,978900000,,,,,
,,313.17,541.3,541300000,,,,,
,,293.17,226.5,226500000,,,,,
,,273.17,0,0,,,,,
Xepian-Xenamnoy,,head,volume (mcm),volume (m^3),,,0.118,0.2855,829.2
,,871.5,885,885000000,,,,,
,,870,780,780000000,,,,,
,,830,0,0,,,,,
,,head,volume (mcm),volume (m^3),,,0.00008814,0.5911,18.89
Lower Sesan 2,,28.5,333.2,333200000,,,,,
,,27,250,250000000,,,,,
,,18.9,0,0,,,,,
Ganlanba,,head,volume (mcm),volume (m^3),,,0.01717,0.3724,3.875
,,14.5,31.3,31300000,,,,,
,,4.1,0,0,,,,,
